book_id,goodreads_title,isbn_lookup,openlibrary_found,openlibrary_id,openlibrary_url,openlibrary_title,publish_date,page_count,publishers,primary_publisher,subjects,primary_subject,subject_count,cover_url
1,"The Hunger Games (The Hunger Games, #1)",0439023483,True,OL61249009M,http://openlibrary.org/books/OL61249009M/The_Hunger_Games,The Hunger Games,2008,,Scholastic Press,Scholastic Press,severe poverty; starvation; oppression; effects of war; self-sacrifice; Science fiction; Apocalyptic fiction; Dystopian fiction,severe poverty,91,https://covers.openlibrary.org/b/id/15167646-L.jpg
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",0439554934,True,OL26018592M,http://openlibrary.org/books/OL26018592M/Harry_Potter_and_the_Sorcerers_Stone,Harry Potter and the Sorcerers Stone,2003,,Arthur A. Levine Books,Arthur A. Levine Books,series:Harry_Potter; Ghosts; Monsters; Vampires; Witches; Challenges and Overcoming Obstacles; Magic and Supernatural; Cleverness,series:Harry_Potter,108,https://covers.openlibrary.org/b/id/7572543-L.jpg
3,"Twilight (Twilight, #1)",0316015849,True,OL37073278M,http://openlibrary.org/books/OL37073278M/Twilight,Twilight,2006-09,544.0,Megan Tingley Books,Megan Tingley Books,series:Luz_e_Escuridão; series:Twilight; New York Times bestseller; nyt:series_books=2008-03-15; School & Education; Vampires; Juvenile Fiction; Fiction,series:Luz_e_Escuridão,99,https://covers.openlibrary.org/b/id/12642040-L.jpg
5,The Great Gatsby,0743273567,True,OL46773254M,http://openlibrary.org/books/OL46773254M/The_Great_Gatsby,The Great Gatsby,2021,208.0,Independently Published,Independently Published,Modern fiction; Traffic accidents; First loves; Classics; Literature; Fiction; Manuscripts; Facsimiles,Modern fiction,51,https://covers.openlibrary.org/b/id/14314120-L.jpg
6,The Fault in Our Stars,0525478817,True,OL25607762M,http://openlibrary.org/books/OL25607762M/The_Fault_in_Our_Stars,The Fault in Our Stars,"January 10, 2012",318.0,Dutton Books; Speak; Dutton Juvenile,Dutton Books,Young Adult Fiction; Cancer—Fiction; Terminally ill—Fiction; Love—Fiction; Cancer; Fiction; Terminally ill; Love,Young Adult Fiction,77,https://covers.openlibrary.org/b/id/7285167-L.jpg
7,The Hobbit,9780618260312,False,,,,,,,,,,0,
8,The Catcher in the Rye,0316769177,True,OL61355083M,http://openlibrary.org/books/OL61355083M/The_Catcher_in_the_Rye,The Catcher in the Rye,2010,,Back Bay Books,Back Bay Books,fictional works; Runaway teenagers; Fiction; Adolescence; teenage boys; Runaway teenagers in literature; Brothers and sisters; Emotionally disturbed teenage boys,fictional works,53,https://covers.openlibrary.org/b/id/15171908-L.jpg
9,"Angels & Demons  (Robert Langdon, #1)",1416524797,True,OL31891285M,http://openlibrary.org/books/OL31891285M/Angels_Demons,Angels & Demons,2006-04,713.0,Pocket Books,Pocket Books,heparin; ambigrams; antimatter; Freemasons; Swiss Guard; Murder; Investigation; Women scientists,heparin,83,https://covers.openlibrary.org/b/id/10578354-L.jpg
10,Pride and Prejudice,0679783261,True,OL7701310M,http://openlibrary.org/books/OL7701310M/Pride_and_Prejudice,Pride and Prejudice,2000,320.0,Modern Library,Modern Library,"Fiction, Romance, Historical, Regency; British and Irish fiction (fictional works by one author); Brothers and sisters; Courtship; Drama; English fiction; English literature; Families","Fiction, Romance, Historical, Regency",95,https://covers.openlibrary.org/b/id/421985-L.jpg
11,The Kite Runner,1594480001,True,OL57896082M,http://openlibrary.org/books/OL57896082M/The_Kite_Runner,The Kite Runner,2012,,Riverhead Books,Riverhead Books,New York Times bestseller; nyt:trade_fiction_paperback=2008-10-26; Male friendship; Betrayal; Fiction; Social classes; Boys; nyt:trade_fiction_paperback=2009-09-26,New York Times bestseller,74,https://covers.openlibrary.org/b/id/14846878-L.jpg
13,1984,0451524934,True,OL34854896M,http://openlibrary.org/books/OL34854896M/Nineteen_Eighty-Four,Nineteen Eighty-Four,1993?,328.0,Signet Classics,Signet Classics,futurology; censorship; surveillance; rebels; sting operations; historical negationism; memory holes; thoughtcrime,futurology,100,https://covers.openlibrary.org/b/id/12054527-L.jpg
14,Animal Farm,0452284244,True,OL7591003M,http://openlibrary.org/books/OL7591003M/Animal_Farm,Animal Farm,"May 6, 2003",128.0,Plume,Plume,"British and Irish fiction (fictional works by one author); political satire; classic; animal drama; Fiction, political; English literature: literary criticism; For National Curriculum Key Stage 4 & GCSE; Fiction, satire",British and Irish fiction (fictional works by one author),48,https://covers.openlibrary.org/b/id/297300-L.jpg
15,The Diary of a Young Girl,0553296981,True,OL22946868M,http://openlibrary.org/books/OL22946868M/The_Diary_of_a_Young_Girl,The Diary of a Young Girl,1993-07,283.0,Bantam Books,Bantam Books,autobiographies; ethnic relations; Dutch literature; Jews-Netherlands; German occupation; Library Staff Picks; Race relations; Jews,autobiographies,77,https://covers.openlibrary.org/b/id/8583953-L.jpg
16,"The Girl with the Dragon Tattoo (Millennium, #1)",0307269752,True,OL16819445M,http://openlibrary.org/books/OL16819445M/The_Girl_with_the_Dragon_Tattoo,The  Girl with the Dragon Tattoo,2008-11,465.0,Alfred A. Knopf,Alfred A. Knopf,Fiction: Literature; Novels; Misogyny; rape; Book of Leviticus; child sexual abuse; finance; secrecy,Fiction: Literature,100,https://covers.openlibrary.org/b/id/9274740-L.jpg
17,"Catching Fire (The Hunger Games, #2)",9780439023512,False,,,,,,,,,,0,
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",043965548X,True,OL27305590M,http://openlibrary.org/books/OL27305590M/Harry_Potter_and_the_Prisoner_of_Azkaban_(Book_3),Harry Potter and the Prisoner of Azkaban (Book 3),"May 01, 2004",560.0,Scholastic,Scholastic,Fantasy fiction; orphans; foster homes; fantasy; literature; juvenile fantasy fiction; Locus Award winner; Bram Stoker Award winner,Fantasy fiction,96,https://covers.openlibrary.org/b/id/8778528-L.jpg
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",0618346252,True,OL26889864M,http://openlibrary.org/books/OL26889864M/The_Fellowship_of_the_Ring,The Fellowship of the Ring,2003,398.0,Houghton Mifflin Company,Houghton Mifflin Company,Elves; Dwarves; evil; fear; hope; young adult fiction; Ficción; Ficción fantástica inglesa,Elves,43,https://covers.openlibrary.org/b/id/14393948-L.jpg
20,"Mockingjay (The Hunger Games, #3)",0439023513,True,OL26332553M,http://openlibrary.org/books/OL26332553M/Mockingjay,Mockingjay,2010-09,,Scholastic Press,Scholastic Press,New York Times bestseller; Sci-fi; Young Adult; nyt:series_books=2010-08-21; Science fiction; Interpersonal relations; Television programs; Insurgency,New York Times bestseller,73,https://covers.openlibrary.org/b/id/12646459-L.jpg
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",0439358078,True,OL34152967M,http://openlibrary.org/books/OL34152967M/Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix,2004-09,870.0,Scholastic Inc.,Scholastic Inc.,Children's Books/Ages 9-12 Fiction; Witches and warlocks; Juvenile audience; Juvenile works; Magic; Fantasy fiction; Juvenile fiction; Fiction,Children's Books/Ages 9-12 Fiction,110,https://covers.openlibrary.org/b/id/12025650-L.jpg
22,The Lovely Bones,0316166685,True,OL22236387M,http://openlibrary.org/books/OL22236387M/The_lovely_bones,The lovely bones,2006,372.0,"Little, Brown and Company","Little, Brown and Company",Murder; Psychological fiction; Teenage girls; Familias; Muchachas adolescentes; Novela psicológica; Bereavement; Dead,Murder,55,https://covers.openlibrary.org/b/id/7088011-L.jpg
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",0439064864,True,OL23292648M,http://openlibrary.org/books/OL23292648M/Harry_Potter_and_the_Chamber_of_Secrets,Harry Potter and the Chamber of Secrets,1999,341.0,Arthur A. Levine Books,Arthur A. Levine Books,series:Harry_Potter; Fantasy fiction; school stories; Fiction; Fantasy; Nestlé Smarties Book Prize winner; Juvenile fiction; Wizards,series:Harry_Potter,124,
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",9780439139612,False,,,,,,,,,,0,
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",0545010225,True,OL61068190M,http://openlibrary.org/books/OL61068190M/Harry_Potter_and_the_Deathly_Hallows,Harry Potter and the Deathly Hallows,2007,759.0,Arthur A. Levine Books,Arthur A. Levine Books,the Elder Wand; children's books; dementors; good and evil; Juvenile literature; Juvenile works; Death; Fiction,the Elder Wand,99,https://covers.openlibrary.org/b/id/15159977-L.jpg
26,"The Da Vinci Code (Robert Langdon, #2)",0307277674,True,OL37877064M,http://openlibrary.org/books/OL37877064M/The_Da_Vinci_Code,The Da Vinci Code,2006-03,454.0,Anchor Books,Anchor Books,Suspense & Thriller; Spiritual Fiction; hieros gamos; Priory of Sion; Holy Grail; Vitruvian Man; Fibonacci sequence; safe deposit boxes,Suspense & Thriller,77,https://covers.openlibrary.org/b/id/12748129-L.jpg
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",0439785960,True,OL24280830M,http://openlibrary.org/books/OL24280830M/Harry_Potter_and_the_Half-Blood_Prince,Harry Potter and the Half-Blood Prince,2006-09,652.0,Scholastic,Scholastic,orphans; foster homes; romans; magie; adolescence; Quill Award winner; Scottish Children’s Book Award winner; British Book of the Year Award winner,orphans,69,https://covers.openlibrary.org/b/id/15156081-L.jpg
28,Lord of the Flies,0140283331,True,OL23115928M,http://openlibrary.org/books/OL23115928M/Lord_of_the_flies,Lord of the flies,1999,192.0,Viking Penguin,Viking Penguin,fiction; relationships; adventure; morality; survival; childhood; children; boys,fiction,42,https://covers.openlibrary.org/b/id/9176044-L.jpg
29,Romeo and Juliet,0743477111,True,OL60168618M,http://openlibrary.org/books/OL60168618M/Romeo_and_Juliet,Romeo and Juliet,1595,,Simon & Schuster,Simon & Schuster,Romance,Romance,1,https://covers.openlibrary.org/b/id/15124950-L.jpg
30,Gone Girl,0297859382,True,OL29021641M,http://openlibrary.org/books/OL29021641M/Gone_Girl,Gone Girl,2012,399.0,Weidenfeld & Nicolson,Weidenfeld & Nicolson,FICTION / Mystery & Detective / General; Married people; Crimes against; Wives; Husbands; FICTION / Thrillers; FICTION / Suspense; Fiction,FICTION / Mystery & Detective / General,44,https://covers.openlibrary.org/b/id/11567795-L.jpg
31,The Help,0399155341,True,OL16990642M,http://openlibrary.org/books/OL16990642M/The_Help,The Help,2009,451.0,Amy Einhorn Books; Amy Einhorn Books/Putnam,Amy Einhorn Books,novels; Fiction; Civil rights movements; Household employees; African American women; literary fiction; historical fiction; domestic fiction,novels,54,https://covers.openlibrary.org/b/id/10544713-L.jpg
32,Of Mice and Men,0142000671,True,OL31978228M,http://openlibrary.org/books/OL31978228M/Of_Mice_and_Men,Of Mice and Men,2002,112.0,Penguin Books,Penguin Books,contemporary fiction; literary fiction; classics; Labor Trilogy; psychological fiction; Male friendship; Goal (Psychology); western stories,contemporary fiction,72,https://covers.openlibrary.org/b/id/10654711-L.jpg
33,Memoirs of a Geisha,0739326228,True,OL3416768M,http://openlibrary.org/books/OL3416768M/Memoirs_of_a_geisha,Memoirs of a geisha,2005,758.0,Random House Large Print,Random House Large Print,Social life and customs; Literature; Open Library Staff Picks; Prostitution; Fiction; Historical fiction; Geishas; Women,Social life and customs,29,https://covers.openlibrary.org/b/id/468584-L.jpg
34,"Fifty Shades of Grey (Fifty Shades, #1)",1612130291,True,OL30403400M,http://openlibrary.org/books/OL30403400M/Fifty_shades_of_Grey,Fifty shades of Grey,2015,514.0,"Vintage Books, a division of Random House LLC","Vintage Books, a division of Random House LLC","Man-woman relationships, fiction; FICTION / Contemporary Women; Sexual dominance and submission; FICTION / Romance / Contemporary; Dominance (Psychology); College students; Businessmen; Adultery","Man-woman relationships, fiction",46,
36,"The Giver (The Giver, #1)",0385732554,True,OL7441983M,http://openlibrary.org/books/OL7441983M/The_Giver,The Giver,"January 24, 2006",179.0,Delacorte Books for Young Readers,Delacorte Books for Young Readers,Social control; Control (Psychology); Juvenile fiction; Fiction; Science fiction; Memory; Ethics; Dystopias,Social control,33,https://covers.openlibrary.org/b/id/244186-L.jpg
38,The Time Traveler's Wife,0965818675,True,OL30124691M,http://openlibrary.org/books/OL30124691M/The_Time_Traveler's_Wife,The Time Traveler's Wife,"Sep 12, 2003",518.0,"Harvest / Harcourt, Inc.","Harvest / Harcourt, Inc.",mutants; love; death; amputation; sex; time; science fiction; romance,mutants,53,https://covers.openlibrary.org/b/id/10439639-L.jpg
39,"A Game of Thrones (A Song of Ice and Fire, #1)",0553588486,True,OL7830295M,http://openlibrary.org/books/OL7830295M/A_Game_of_Thrones,A Game of Thrones,"August 16, 2005",835.0,Spectra,Spectra,Adult; Action & Adventure; Fantasy; High Fantasy; Epic; Epic Fantasy; Epic Fiction; Epic Literature,Adult,67,https://covers.openlibrary.org/b/id/373448-L.jpg
40,"Eat, Pray, Love",0143038419,True,OL24959550M,http://openlibrary.org/books/OL24959550M/Eat_pray_love,"Eat, pray, love",2007,334.0,Penguin,Penguin,Viajes; Travel; Biografía espiritual; New York Times bestseller; Biografía; Description and travel; Religious aspects of Self-realization; Self-realization in women,Viajes,61,https://covers.openlibrary.org/b/id/6942045-L.jpg
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",0786838655,True,OL42476783M,http://openlibrary.org/books/OL42476783M/The_Lightning_Thief,The Lightning Thief,2006,416.0,Disney-Hyperion Books,Disney-Hyperion Books,Serie:Percy_Jackson_and_the_Olympians; Fiction; Greek Mythology; Juvenile fiction; Camps; Friendship; Fantasy fiction; Fantasy,Serie:Percy_Jackson_and_the_Olympians,37,https://covers.openlibrary.org/b/id/15090298-L.jpg
42,"Little Women (Little Women, #1)",9780451529312,True,OL3691818M,http://openlibrary.org/books/OL3691818M/Four_plays,Four plays,2004,297.0,Signet Classic,Signet Classic,Drama; Translations into English; Lysistrata (Fictitious character); Women and peace; Peace movements; Drama (dramatic works by one author); Continental european drama (dramatic works by one author),Drama,7,https://covers.openlibrary.org/b/id/295801-L.jpg
43,Jane Eyre,0142437204,True,OL3564335M,http://openlibrary.org/books/OL3564335M/Jane_Eyre,Jane Eyre,2003,532.0,Penguin Books,Penguin Books,"Fiction; Romance; Historical""; Man-woman relationships, fiction; Charity schools, fiction; Married people, fiction; Married men; fiction""",Fiction,101,https://covers.openlibrary.org/b/id/110552-L.jpg
44,"The Notebook (The Notebook, #1)",0553816713,True,OL7850857M,http://openlibrary.org/books/OL7850857M/The_Notebook,The Notebook,"July 5, 2004",272.0,Bantam Books Ltd,Bantam Books Ltd,"Man-woman relationships, fiction; Oral reading; Older people; Ancianos; Novela; Relaciones hombre-mujer; Open Library Staff Picks; American fiction","Man-woman relationships, fiction",34,https://covers.openlibrary.org/b/id/374523-L.jpg
45,Life of Pi,0770430074,True,OL8075156M,http://openlibrary.org/books/OL8075156M/LIFE_OF_PI,LIFE OF PI,2006,480.0,Seal Books,Seal Books,Teenage boys; Zoo animals; Fiction; Literature; Tigers; Translations into Korean; Tiger; award:man_booker_prize=2002,Teenage boys,70,https://covers.openlibrary.org/b/id/529809-L.jpg
46,Water for Elephants,9781565125612,True,OL16927469M,http://openlibrary.org/books/OL16927469M/Doctor_Olaf_van_Schuler's_brain,Doctor Olaf van Schuler's brain,2008,290.0,Algonquin Books of Chapel Hill,Algonquin Books of Chapel Hill,"Fiction; Physicians; Fictional Works; Fiction, short stories (single author)",Fiction,4,https://covers.openlibrary.org/b/id/7965953-L.jpg
47,The Book Thief,0375831002,True,OL3396557M,http://openlibrary.org/books/OL3396557M/The_Book_Thief,The Book Thief,2006-03,,Alfred A. Knopf,Alfred A. Knopf,"nyt:young-adult-paperback-monthly=2022-09-04; New York Times bestseller; New York Times reviewed; Books and reading; Fiction; Jews; History; World War, 1939-1945",nyt:young-adult-paperback-monthly=2022-09-04,63,https://covers.openlibrary.org/b/id/8310846-L.jpg
48,Fahrenheit 451,0307347974,True,OL22900590M,http://openlibrary.org/books/OL22900590M/Fahrenheit_451,Fahrenheit 451,1993,183.0,Plaza & Janés,Plaza & Janés,Mechanical Hound; girl next door; Long Now Manual for Civilization; Terrorismo estatal; Censura; Novela; Totalitarismo; science fiction,Mechanical Hound,50,
49,"New Moon (Twilight, #2)",0316160199,True,OL37074932M,http://openlibrary.org/books/OL37074932M/New_Moon,New Moon,2006-09,,Megan Tingley Books,Megan Tingley Books,series: Twilight; series:Luz_e_Escuridão; Vampires; Juvenile fiction; Werewolves; High schools; Schools; Vampiros,series: Twilight,72,https://covers.openlibrary.org/b/id/12643332-L.jpg
51,"City of Bones (The Mortal Instruments, #1)",1416914285,True,OL8458200M,http://openlibrary.org/books/OL8458200M/City_of_Bones,City of Bones,"March 27, 2007",485.0,Margaret K. McElderry,Margaret K. McElderry,Demonology; Fiction; Horror stories; Supernatural; Juvenile fiction; Horror tales; YOUNG ADULT FICTION; Action & Adventure,Demonology,55,https://covers.openlibrary.org/b/id/14812842-L.jpg
52,"Eclipse (Twilight, #3)",0316160202,True,OL61346164M,http://openlibrary.org/books/OL61346164M/Eclipse,Eclipse,2007,,"Little, Brown and Company","Little, Brown and Company",New York Times bestseller; Werewolves; Interpersonal relations; Vampires; High schools; Schools; Fiction; nyt:series_books=2008-03-15,New York Times bestseller,54,https://covers.openlibrary.org/b/id/15174663-L.jpg
53,"Eragon (The Inheritance Cycle, #1)",9780375826712,False,,,,,,,,,,0,
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",9780345391812,False,,,,,,,,,,0,
56,"Breaking Dawn (Twilight, #4)",031606792X,True,OL37075048M,http://openlibrary.org/books/OL37075048M/Breaking_Dawn,Breaking Dawn,2008-08,,Megan Tingley Books,Megan Tingley Books,series:Twilight; series:Luz_e_Escuridão School stories; Edward Cullen (Fictitious character); Vampires; Bella Swan (Fictitious character); Juvenile fiction; nyt:series_books=2008-03-15; Fiction,series:Twilight,67,https://covers.openlibrary.org/b/id/12643375-L.jpg
57,The Secret Life of Bees,0142001740,True,OL14444750M,http://openlibrary.org/books/OL14444750M/The_secret_life_of_bees,The  secret life of bees,2003,302.0,Penguin; Penguin Books,Penguin,Teenage girls; Fiction; South Carolina in fiction; African American women; Beekeepers; Race relations; Literature; Maternal deprivation,Teenage girls,43,https://covers.openlibrary.org/b/id/15166757-L.jpg
58,The Adventures of Huckleberry Finn,0142437174,True,OL3565416M,http://openlibrary.org/books/OL3565416M/The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn,2003,327.0,Penguin Books,Penguin Books,adventure and adventurers; Adventure stories; American fiction (fictional works by one author); American literature; Boys; Child and youth fiction; Children's fiction; child witnesses,adventure and adventurers,164,https://covers.openlibrary.org/b/id/15173525-L.jpg
